Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,52552,10049,333,155,703,170
Italy,54030,3612,8326,894,6820,743
Germany,29542,801,3290,2868,159,40
Spain,35273,7721,3794,439,2991,809
The United Kingdom,7520,1340,135,0,422,87
France,17999,1203,3201,1001,1100,240
Turkey,1828,336,0,0,44,7
Iran (Islamic Republic of),13964,640,8913,1000,1934,122
Belgium,3797,492,350,0,122,34
Canada,2654,601,112,98,26,2
Netherlands,5284,700,0,0,276,63
Brazil,1857,336,0,0,34,9
Switzerland,8747,756,3,0,86,20
Portugal,2311,288,22,8,29,6
Austria,4839,945,9,0,28,7
Israel,1874,470,53,16,3,2
Sweden,2219,245,17,0,36,11
Russian Federation,477,57,17,0,1,0
Norway,2784,221,0,0,12,2
Australia,2101,426,27,0,8,1
Ireland,1322,203,0,0,7,1
Czechia,1228,0,7,0,1,0
India,487,47,40,17,9,1
Poland,878,264,13,0,10,3
Chile,903,281,17,9,2,0
Japan,881,68,285,0,43,1
Denmark,1558,123,1,0,32,8
Ecuador,775,250,0,0,15,8
Romania,538,0,31,0,7,0
Pakistan,959,96,6,0,7,1
Philippines,497,86,20,2,35,2
Republic of Korea,5410,-274,3507,341,120,9
Luxembourg,1091,224,0,0,8,0
Mexico,365,52,1,0,4,2
Malaysia,1426,61,183,44,15,1
Indonesia,627,106,9,0,50,1
Serbia,306,60,0,0,4,1
Finland,781,92,10,0,1,0
China,4769,-396,73791,492,3287,4
United Arab Emirates,205,50,41,0,2,0
Saudi Arabia,738,192,28,12,1,1
Panama,339,29,0,0,6,3
Qatar,485,21,41,4,0,0
Dominican Republic,242,172,0,0,3,1
Greece,704,45,19,0,20,3
Colombia,274,41,0,0,3,1
South Africa,554,152,0,0,0,0
Peru,389,0,1,0,5,0
Thailand,766,98,57,5,4,3
Argentina,296,35,1,0,4,0
Ukraine,93,24,1,0,3,0
Algeria,233,32,12,0,19,2
Iceland,646,59,0,0,2,1
Singapore,404,49,152,0,2,0
Egypt,302,23,80,12,20,1
Croatia,309,0,5,0,1,0
Estonia,369,17,0,0,0,0
Republic of Moldova,123,16,1,0,1,0
Morocco,159,25,6,1,5,1
Slovenia,439,0,0,0,3,0
Lithuania,207,49,1,0,1,0
Belarus,67,0,22,0,0,0
Armenia,235,2,14,12,0,0
Hungary,158,5,21,14,8,1
New Zealand,142,40,0,0,0,0
